epoch,loss,accuracy,val_loss,val_accuracy,lr,model
0,4.926794052124023,0.6906224489212036,1.229227066040039,0.8829236626625061,0.001,normal_model
1,0.8144264817237854,0.9044462442398071,1.0932705402374268,0.885187566280365,0.00090483745,normal_model
2,0.4118139445781708,0.9376717805862427,1.075304388999939,0.8832470774650574,0.0008187308,normal_model
3,0.2636767327785492,0.9540824294090271,1.1045880317687988,0.8751617074012756,0.0007408183,normal_model
4,0.2037293016910553,0.9652384519577026,0.9324559569358826,0.8929495811462402,0.0006703201,normal_model
5,0.17085428535938263,0.9711398482322693,1.1377969980239868,0.8845407366752625,0.00060653075,normal_model
6,0.1324273645877838,0.980759859085083,1.214660882949829,0.8838939070701599,0.00054881175,normal_model
7,0.15900889039039612,0.9773645997047424,1.2102656364440918,0.8813065886497498,0.0004965854,normal_model
8,0.12727318704128265,0.983670175075531,0.8879975080490112,0.9062095880508423,0.00044932903,normal_model
9,0.10107914358377457,0.9869846105575562,0.9348016977310181,0.905886173248291,0.0004065697,normal_model
10,0.08570389449596405,0.9912691712379456,0.8834715485572815,0.9062095880508423,0.0003678795,normal_model
11,0.07855861634016037,0.9919158816337585,0.8502551317214966,0.9087969064712524,0.00033287113,normal_model
12,0.07381043583154678,0.9935327172279358,0.8576958179473877,0.9078266620635986,0.00030119426,normal_model
13,0.06834584474563599,0.9947453141212463,0.8569672107696533,0.9062095880508423,0.00027253185,normal_model
14,0.07223642617464066,0.9945836663246155,0.8420105576515198,0.9117076396942139,0.00024659702,normal_model
15,0.06734155863523483,0.9961196184158325,0.8527275323867798,0.9100905656814575,0.0002231302,normal_model
16,0.06752047687768936,0.9960387945175171,0.8431115746498108,0.9113842248916626,0.00020189656,normal_model
17,0.06425256282091141,0.9965238571166992,0.8376486301422119,0.9113842248916626,0.00018268357,normal_model
18,0.0643446296453476,0.9967663288116455,0.836467981338501,0.9097671508789062,0.00016529893,normal_model
19,0.0620332695543766,0.997089684009552,0.8652673959732056,0.9065330028533936,0.00014956866,normal_model
20,0.061767060309648514,0.9970088601112366,0.8290326595306396,0.9113842248916626,0.00013533531,normal_model
21,0.06207271292805672,0.997089684009552,0.8243242502212524,0.9110608100891113,0.00012245646,normal_model
22,0.06339313834905624,0.9974939227104187,0.8299528360366821,0.9113842248916626,0.000110803194,normal_model
23,0.059109605848789215,0.9978981018066406,0.8377852439880371,0.9133247137069702,0.000100258876,normal_model
24,0.05976605415344238,0.9979789853096008,0.8258832097053528,0.9104139804840088,9.0717986e-05,normal_model
25,0.05891219899058342,0.9979789853096008,0.8276793360710144,0.9120310544967651,8.2085025e-05,normal_model
26,0.05792676657438278,0.9986256957054138,0.8292811512947083,0.9123544692993164,7.42736e-05,normal_model
27,0.06074908748269081,0.9973322153091431,0.835460901260376,0.9139715433120728,6.720553e-05,normal_model
28,0.058997731655836105,0.9979789853096008,0.8280333876609802,0.9117076396942139,6.081008e-05,normal_model
29,0.057352785021066666,0.9983023405075073,0.828430712223053,0.9120310544967651,5.502324e-05,normal_model
30,0.05709394812583923,0.9983023405075073,0.8185724020004272,0.9123544692993164,4.9787086e-05,normal_model
31,0.05652699992060661,0.9989490509033203,0.8171688318252563,0.9117076396942139,4.504922e-05,normal_model
32,0.05942796543240547,0.9975747466087341,0.8202201128005981,0.9107373952865601,4.076222e-05,normal_model
33,0.05584721639752388,0.9988682270050049,0.8170761466026306,0.9117076396942139,3.6883182e-05,normal_model
